,Date,Close/Last,Volume,Open,High,Low
1,02/14/2023,$209.25,"216,455,700",$191.94,$209.82,$189.44
2,02/13/2023,$194.64,"172,475,500",$194.415,$196.3,$187.61
3,02/10/2023,$196.89,"204,754,100",$202.225,$206.2,$192.89
4,02/09/2023,$207.32,"215,431,400",$207.775,$214,$204.77
5,02/08/2023,$201.29,"180,673,600",$196.1,$203,$194.31
6,02/07/2023,$196.81,"186,010,300",$196.43,$197.5,$189.55
7,02/06/2023,$194.76,"186,188,100",$193.01,$198.17,$189.92
8,02/03/2023,$189.98,"232,662,000",$183.95,$199,$183.69
9,02/02/2023,$188.27,"217,448,300",$187.325,$196.7501,$182.61
10,02/01/2023,$181.41,"213,806,300",$173.89,$183.805,$169.93
11,01/31/2023,$173.22,"196,813,500",$164.57,$174.3,$162.78
12,01/30/2023,$166.66,"230,878,800",$178.05,$179.77,$166.5
13,01/27/2023,$177.9,"306,590,600",$162.43,$180.68,$161.17
14,01/26/2023,$160.27,"234,815,100",$159.965,$161.42,$154.76
15,01/25/2023,$144.43,"192,734,300",$141.905,$146.41,$138.07
16,01/24/2023,$143.89,"158,699,100",$143,$146.5,$141.1
17,01/23/2023,$143.75,"203,119,200",$135.87,$145.3793,$134.27
18,01/20/2023,$133.42,"138,858,100",$128.68,$133.51,$127.3466
20,01/19/2023,$127.17,"170,291,900",$127.26,$129.99,$124.3082
21,01/18/2023,$128.78,"195,680,300",$136.555,$136.68,$127.01
22,01/17/2023,$131.49,"186,477,000",$125.695,$131.7,$125.02
23,01/13/2023,$122.4,"180,714,100",$116.55,$122.63,$115.6
24,01/12/2023,$123.56,"169,400,900",$122.56,$124.1311,$117
25,01/11/2023,$123.22,"183,810,800",$122.09,$125.95,$120.51
26,01/10/2023,$118.85,"167,642,500",$121.07,$122.76,$114.92
27,01/09/2023,$119.77,"190,284,000",$118.96,$123.52,$117.11
28,01/06/2023,$113.06,"220,911,100",$103,$114.39,$101.81
29,01/05/2023,$110.34,"157,986,300",$110.51,$111.75,$107.1601
30,01/04/2023,$113.64,"180,389,000",$109.11,$114.59,$107.52
31,01/03/2023,$108.1,"231,402,800",$118.47,$118.8,$104.64
32,12/30/2022,$123.18,"157,777,300",$119.95,$124.48,$119.75
33,12/29/2022,$121.82,"221,923,300",$120.385,$123.57,$117.495
34,12/28/2022,$112.71,"221,070,500",$110.35,$116.27,$108.24
35,12/27/2022,$109.1,"208,643,400",$117.495,$119.67,$108.76
36,12/23/2022,$123.15,"166,989,700",$126.37,$128.6173,$121.02
37,12/22/2022,$125.35,"210,090,300",$136,$136.63,$122.26
39,12/21/2022,$137.57,"145,417,400",$139.335,$141.26,$135.89
40,12/20/2022,$137.8,"159,563,300",$146.05,$148.47,$137.66
41,12/19/2022,$149.87,"139,390,600",$154,$155.25,$145.82
42,12/16/2022,$150.23,"139,032,200",$159.635,$160.99,$150.04
43,12/15/2022,$157.67,"122,334,500",$153.44,$160.9299,$153.28
44,12/14/2022,$156.8,"140,682,300",$159.25,$161.62,$155.31
45,12/13/2022,$160.95,"175,862,700",$174.87,$175.05,$156.91
46,12/12/2022,$167.82,"109,794,500",$176.1,$177.37,$167.52
47,12/09/2022,$179.05,"104,872,300",$173.84,$182.5,$173.36
48,12/08/2022,$173.44,"97,624,490",$172.2,$175.2,$169.06
49,12/07/2022,$174.04,"84,213,280",$175.03,$179.38,$172.218
50,12/06/2022,$179.82,"92,150,820",$181.215,$183.65,$175.33
51,12/05/2022,$182.45,"93,122,670",$189.44,$191.27,$180.55
52,12/02/2022,$194.86,"73,645,920",$191.78,$196.25,$191.11
53,12/01/2022,$194.7,"80,046,210",$197.08,$198.92,$191.8
54,11/30/2022,$194.7,"109,186,400",$182.43,$194.76,$180.6301
55,11/29/2022,$180.83,"83,357,110",$184.99,$186.38,$178.75
56,11/28/2022,$182.92,"93,038,150",$179.96,$188.5,$179
58,11/25/2022,$182.86,"50,672,740",$185.06,$185.2,$180.63
59,11/23/2022,$183.2,"109,536,700",$173.57,$183.62,$172.5
60,11/22/2022,$169.91,"78,452,330",$168.63,$170.92,$166.185
61,11/21/2022,$167.87,"92,882,710",$175.85,$176.77,$167.54
62,11/18/2022,$180.19,"76,048,870",$185.05,$185.19,$176.55
63,11/17/2022,$183.17,"64,335,970",$183.96,$186.16,$180.9
64,11/16/2022,$186.92,"66,567,600",$191.51,$192.57,$185.66
65,11/15/2022,$194.42,"91,293,790",$195.88,$200.8237,$192.06
66,11/14/2022,$190.95,"92,226,650",$192.77,$195.73,$186.34
67,11/11/2022,$195.97,"114,403,600",$186,$196.52,$182.59
68,11/10/2022,$190.72,"132,703,000",$189.9,$191,$180.03
69,11/09/2022,$177.59,"127,062,700",$190.775,$195.89,$177.12
70,11/08/2022,$191.3,"128,803,400",$194.02,$195.2,$186.75
