,Date,Count
0,2022-11-10,10
1,2022-11-11,12
2,2022-11-12,6
3,2022-11-13,4
4,2022-11-14,19
5,2022-11-15,20
6,2022-11-16,23
7,2022-11-17,17
8,2022-11-18,22
9,2022-11-19,2
10,2022-11-20,2
11,2022-11-21,10
12,2022-11-22,6
13,2022-11-23,10
14,2022-11-24,5
15,2022-11-25,2
16,2022-11-28,14
17,2022-11-29,14
18,2022-11-30,19
19,2022-12-01,21
20,2022-12-02,3
21,2022-12-05,23
22,2022-12-06,6
23,2022-12-07,24
24,2022-12-08,14
25,2022-12-09,10
26,2022-12-11,2
27,2022-12-12,10
28,2022-12-13,11
29,2022-12-14,17
30,2022-12-15,18
31,2022-12-16,12
32,2022-12-17,4
33,2022-12-18,1
34,2022-12-19,26
35,2022-12-20,12
36,2022-12-21,22
37,2022-12-22,33
38,2022-12-23,16
39,2022-12-24,2
40,2022-12-25,1
41,2022-12-26,2
42,2022-12-27,29
43,2022-12-28,15
44,2022-12-29,12
45,2022-12-30,10
46,2022-12-31,1
47,2023-01-01,1
48,2023-01-02,10
49,2023-01-03,32
50,2023-01-04,21
51,2023-01-05,31
52,2023-01-06,16
53,2023-01-07,4
54,2023-01-09,25
55,2023-01-10,11
56,2023-01-11,11
57,2023-01-12,18
58,2023-01-13,26
59,2023-01-16,2
60,2023-01-17,22
61,2023-01-18,17
62,2023-01-19,16
63,2023-01-20,13
64,2023-01-22,1
65,2023-01-23,25
66,2023-01-24,18
67,2023-01-25,23
68,2023-01-26,39
69,2023-01-27,32
70,2023-01-29,2
71,2023-01-30,13
72,2023-01-31,33
73,2023-02-01,18
74,2023-02-02,8
75,2023-02-03,25
76,2023-02-04,4
77,2023-02-06,16
78,2023-02-07,7
79,2023-02-08,11
80,2023-02-09,19
81,2023-02-10,11
