,Date,Count
0,2022-11-10,5
1,2022-11-11,7
2,2022-11-12,2
3,2022-11-13,3
4,2022-11-14,5
5,2022-11-15,2
6,2022-11-16,5
7,2022-11-17,6
8,2022-11-18,6
9,2022-11-19,2
10,2022-11-21,5
11,2022-11-22,2
12,2022-11-23,2
13,2022-11-24,2
14,2022-11-25,2
15,2022-11-27,3
16,2022-11-28,6
17,2022-11-29,6
18,2022-11-30,3
19,2022-12-01,2
20,2022-12-02,1
21,2022-12-04,1
22,2022-12-05,4
23,2022-12-06,2
24,2022-12-07,2
25,2022-12-08,5
26,2022-12-09,3
27,2022-12-11,3
28,2022-12-12,7
29,2022-12-13,7
30,2022-12-14,7
31,2022-12-15,4
32,2022-12-16,3
33,2022-12-17,2
34,2022-12-18,4
35,2022-12-19,4
36,2022-12-20,5
37,2022-12-21,6
38,2022-12-22,5
39,2022-12-23,10
40,2022-12-24,4
41,2022-12-25,2
42,2022-12-26,2
43,2022-12-27,6
44,2022-12-28,8
45,2022-12-29,11
46,2022-12-30,9
47,2022-12-31,2
48,2023-01-01,3
49,2023-01-02,1
50,2023-01-03,15
51,2023-01-04,7
52,2023-01-05,6
53,2023-01-06,8
54,2023-01-07,3
55,2023-01-08,4
56,2023-01-09,5
57,2023-01-10,3
58,2023-01-11,3
59,2023-01-12,4
60,2023-01-13,12
61,2023-01-14,1
62,2023-01-16,2
63,2023-01-17,3
64,2023-01-18,5
65,2023-01-19,3
66,2023-01-20,10
67,2023-01-21,2
68,2023-01-22,3
69,2023-01-23,9
70,2023-01-24,8
71,2023-01-25,17
72,2023-01-26,14
73,2023-01-27,10
74,2023-01-28,4
75,2023-01-29,3
76,2023-01-30,10
77,2023-01-31,7
78,2023-02-01,1
79,2023-02-02,5
80,2023-02-03,5
81,2023-02-04,5
82,2023-02-05,2
83,2023-02-06,6
84,2023-02-07,2
85,2023-02-08,1
86,2023-02-09,8
87,2023-02-10,3
