,raw_text,new_line_break_count
0,"MARKETS
FOMO Options Bets Sweep Market

Activity tied to shares of Apple, Meta Platforms and Tesla has touched some of the highest levels in history in recent weeks.

Eric Wallerstein and Gunjan Banerji

February 10, 2023 04:20 pm ET

Appeared in the Feb 11, 2023 , print edition as 'Options Activity Jumps in New Year'",9
1,"Tesla Stock Falls, Snaps Eight-Session Winning Streak

Hannah Miao

February 10, 2023 04:09 pm ET",4
2,"U.S. MARKETS
Stocks Turn Lower as 2023 Rebound Loses Steam

U.S. stocks extended recent losses, as investors debated the outlook for interest rates

Hannah Miao and Will Horner

February 9, 2023 04:43 pm ET

Appeared in the Feb 10, 2023 , print edition as 'Stocks Fall as 2023 Runup Loses Steam'",9
3,"AUTOS INDUSTRY
Ford CEO Tells Employees They Need Clearer Goals, Performance Metrics

Jim Farley said employees need more guidance about how to contribute to company goals, a week after a disappointing earnings report.

Nora Eckert

February 9, 2023 04:41 pm ET

Appeared in the Feb 10, 2023 , print edition as 'Ford Seeks Clearer Worker Goals'",9
4,"AUTOS INDUSTRY
Volvo in Advanced Talks on Possible Lithium Mining

The company is in advanced talks with some of the biggest miners, including over potential stakes in lithium mining or processing operations, Volvo Car CEO Jim Rowan said.

William Boston

February 9, 2023 03:12 pm ET

Appeared in the Feb 10, 2023 , print edition as 'Volvo Considers Stakes in Lithium Producers'",9
5,"BUSINESS
GM, GlobalFoundries Sign Chip Supply Deal

The auto maker said the agreement supports its strategy to reduce the number of unique chips needed to power its vehicles.

Denny Jacob

February 9, 2023 01:48 pm ET

Appeared in the Feb 10, 2023 , print edition as 'GM, Chip Maker GlobalFoundries Sign Supply Deal'",9
6,"Tesla Stock on Pace for Eighth Straight Advance

David Marino-Nachison

February 9, 2023 11:15 am ET",4
7,"AUTOS INDUSTRY
EV Startup Lucid Offers $7,500 Credit on Some Air Sedans

Promotion follows a federal rule change that disqualified Lucid’s Air sedans from government tax incentives.

Sean McLain

February 9, 2023 09:00 am ET

Appeared in the Feb 10, 2023 , print edition as 'Lucid Offers $7,500 Credit on High-End EV Sedans'",9
8,"Stocks to Watch: Disney, Tesla, Credit Suisse

Alex Frangos

February 9, 2023 04:53 am ET",4
9,"U.S.
Fatal Tesla Crash in 2021 Is Tied to Excessive Speed

A National Transportation Safety Board report indicates that Autopilot driver-assistance features weren’t engaged.

Rebecca Elliott

February 8, 2023 07:57 pm ET

Appeared in the Feb 09, 2023 , print edition as 'Fatal Tesla Crash In 2021 Blamed On Driver'",9
10,"EARNINGS PREVIEW
VW Says 2022 Sales and Profit in Line With Forecasts

Cash flow, a key measure for investors, fell short of expectations as supply-chain woes led to higher unsold inventory at the end of the year, the automaker said.

William Boston

February 7, 2023 07:22 pm ET

Appeared in the Feb 08, 2023 , print edition as 'VW Says Results for 2022 Met Forecasts'",9
11,"MARKETS
Market Rally Broadens as Tech Firms Join In

Bellwethers like Meta, Apple and Microsoft have broken through their long-term trend lines.

Hannah Miao

February 7, 2023 04:57 pm ET

Appeared in the Feb 08, 2023 , print edition as 'More Stocks Are Joining Market Rally'",9
12,"STOCKS
Speculative Stocks Soar as Investors Dust Off Low-Rate Playbook

Traders are betting on further gains, with options activity for Tesla and the ARK Innovation fund jumping to records.

Jack Pitcher

February 6, 2023 05:05 pm ET

Appeared in the Feb 07, 2023 , print edition as 'Pandemic Winners Come Back'",9
13,"HEARD ON THE STREET
Nissan, Renault and Mitsubishi Must Make Their New Alliance Pay

The partners need to show that their revamped car-making alliance can deliver meaningful gains.

Stephen Wilmot

February 6, 2023 02:19 pm ET

Appeared in the Feb 07, 2023 , print edition as 'Auto Makers’ Alliance Needs Fast Results'",9
14,"JOURNAL REPORTS: ENERGY
Thinking of Buying an EV? Readers Weigh the Decision

For some people, an electric vehicle is fun, economical and practical. For others, not so much.

Demetria Gallegos

February 6, 2023 12:00 pm ET",7
15,"AUTOS INDUSTRY
Nissan, Renault Alliance Shake-Up to Give Each More Independence

Nissan and Renault unveiled a long-planned restructuring of their two-decade-old alliance—a decoupling that falls short of a full divorce but gives each car company more autonomy after years of tensions.

River Davis and Nick Kostov

February 6, 2023 06:07 am ET

Appeared in the Feb 07, 2023 , print edition as 'Nissan, Renault Reset Their Alliance'",9
16,"WHATS NEWS BUSINESS FINANCE
What’s News: Business & Finance

What’s News: Business & Finance

February 6, 2023 12:39 am ET

Appeared in the Feb 06, 2023 , print edition as 'What’s News: Business & Finance'",7
17,"MARKETS
Carlyle to Name Banking Veteran Harvey Schwartz as CEO

Carlyle Group Inc. plans to name investment-banking veteran Harvey Schwartz its new chief executive, as the private-equity firm’s founders seek a fresh start after a botched succession plan.

Miriam Gottfried

February 5, 2023 06:35 pm ET

Appeared in the Feb 06, 2023 , print edition as 'Carlyle To Name Schwartz New Chief'",9
18,"BUSINESS
When Does Musk Sleep? He Speaks of Limits to Fixing Twitter, Back Pain

At the Tesla trial and in tweets, the executive gives a glimpse into his personal challenges.

Tim Higgins

February 5, 2023 02:42 pm ET

Appeared in the Feb 06, 2023 , print edition as 'Musk’s Frantic Schedule Comes at a Personal Cost'",9
19,"BUSINESS
For Elon Musk, Two Cases About His Tweets, and Two Victories

The Tesla CEO’s willingness to bet on himself and his convictions have been rewarded, furthering his reputation as a maverick willing to fight rather than bow to pressure.

Tim Higgins

February 4, 2023 02:08 pm ET",7
20,"BUSINESS
Tesla Nudges Up Model Y Prices

Tesla has raised prices in the U.S. for its Model Y SUV.

Mike Colias and Rebecca Elliott

February 4, 2023 12:34 pm ET

Appeared in the Feb 06, 2023 , print edition as 'Tesla Nudges Up Model Y Prices'",9
21,"AUTOS INDUSTRY
Dealers and Buyers Are Both Worried Cars Are Too Expensive

High prices and a lack of affordable models already were keeping some buyers away. Now, higher interest rates and falling used-car prices are alienating even more.

 Sean McLain

February 4, 2023 05:30 am ET

Appeared in the Feb 06, 2023 , print edition as 'Dealers Say High Prices for New Cars Cut Sales'",9
22,"WHATS NEWS BUSINESS FINANCE
What’s News: Business & Finance

What’s News: Business & Finance

February 4, 2023 12:01 am ET

Appeared in the Feb 04, 2023 , print edition as 'What’s News: Business & Finance'",7
23,"MARKETS
The Retreat of the Amateur Investors

A pandemic boom attracted scores of Americans seeking gains. Now that some are backing away, the markets risk losing a key support.

Gunjan Banerji

February 4, 2023 12:00 am ET

Appeared in the Feb 04, 2023 , print edition as 'The Retreat of the Amateur Investors'",9
